commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),KG,Rs 70.00,Rs 80.00,Rs 76.67
Tomato Small(Local),KG,Rs 35.00,Rs 45.00,Rs 40.00
Tomato Small(Tunnel),KG,Rs 42.00,Rs 50.00,Rs 47.40
Potato Red,KG,Rs 92.00,Rs 95.00,Rs 93.80
Potato Red(Indian),KG,Rs 42.00,Rs 44.00,Rs 43.00
Potato Red(Mude),KG,Rs 75.00,Rs 80.00,Rs 77.50
Potato White,KG,Rs 75.00,Rs 80.00,Rs 78.33
Onion Dry (Indian),KG,Rs 52.00,Rs 55.00,Rs 53.50
Carrot(Local),KG,Rs 140.00,Rs 150.00,Rs 146.67
Carrot(Terai),KG,Rs 100.00,Rs 110.00,Rs 105.00
Cabbage(Local),KG,Rs 35.00,Rs 45.00,Rs 39.00
Cauli Local,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local(Jyapu),KG,Rs 80.00,Rs 90.00,Rs 86.67
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 46.67
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,KG,Rs 60.00,Rs 70.00,Rs 65.00
Brinjal Round,KG,Rs 70.00,Rs 80.00,Rs 76.67
Cow pea(Long),KG,Rs 130.00,Rs 140.00,Rs 135.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,KG,Rs 250.00,Rs 300.00,Rs 275.00
French Bean(Local),KG,Rs 80.00,Rs 90.00,Rs 86.67
French Bean(Hybrid),KG,Rs 100.00,Rs 110.00,Rs 106.67
Sword Bean,KG,Rs 90.00,Rs 100.00,Rs 96.67
Soyabean Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 100.00,Rs 110.00,Rs 105.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pointed Gourd(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),KG,Rs 60.00,Rs 70.00,Rs 66.67
Smooth Gourd,KG,Rs 80.00,Rs 90.00,Rs 86.67
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 50.00,Rs 60.00,Rs 56.67
Turnip,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,KG,Rs 90.00,Rs 100.00,Rs 96.67
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,KG,Rs 70.00,Rs 80.00,Rs 76.67
Arum,KG,Rs 50.00,Rs 60.00,Rs 56.67
Christophine,KG,Rs 12.00,Rs 16.00,Rs 14.33
Brd Leaf Mustard,KG,Rs 200.00,Rs 220.00,Rs 210.00
Spinach Leaf,KG,Rs 250.00,Rs 280.00,Rs 265.00
Cress Leaf,KG,Rs 250.00,Rs 280.00,Rs 265.00
Mustard Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Fenugreek Leaf,KG,Rs 250.00,Rs 280.00,Rs 265.00
Onion Green,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bakula,KG,Rs 110.00,Rs 120.00,Rs 116.67
Mushroom(Kanya),KG,Rs 150.00,Rs 200.00,Rs 183.33
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,KG,Rs 900.00,Rs 0.00,Rs 950.00
Neuro,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,KG,Rs 150.00,Rs 200.00,Rs 175.00
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 75.00
Red Cabbbage,KG,Rs 150.00,Rs 180.00,Rs 165.00
Lettuce,KG,Rs 250.00,Rs 300.00,Rs 275.00
Celery,KG,Rs 300.00,Rs 350.00,Rs 325.00
Fennel Leaf,KG,Rs 250.00,Rs 280.00,Rs 265.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 100.00,Rs 120.00,Rs 110.00
Tofu,KG,Rs 100.00,Rs 110.00,Rs 105.00
Gundruk,KG,Rs 300.00,Rs 350.00,Rs 325.00
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 275.00
Banana,Per Dozen,Rs 100.00,Rs 120.00,Rs 110.00
Lime,KG,Rs 150.00,Rs 200.00,Rs 172.50
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 375.00
Orange(Indian),KG,Rs 120.00,Rs 130.00,Rs 125.00
Water Melon(Green),KG,Rs 80.00,Rs 90.00,Rs 86.67
Sweet Orange,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mandarin,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,1 Pc,Rs 200.00,Rs 220.00,Rs 210.00
Cucumber(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cucumber(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Lemon,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),KG,Rs 300.00,Rs 350.00,Rs 325.00
Papaya(Nepali),KG,Rs 80.00,Rs 90.00,Rs 86.67
Papaya(Indian),KG,Rs 120.00,Rs 130.00,Rs 126.67
Guava,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 60.00,Rs 70.00,Rs 66.67
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 225.00
Sarifa,KG,Rs 150.00,Rs 200.00,Rs 175.00
Avocado,KG,Rs 200.00,Rs 250.00,Rs 225.00
Amla,KG,Rs 60.00,Rs 70.00,Rs 66.67
Ginger,KG,Rs 40.00,Rs 50.00,Rs 45.00
Chilli Dry,KG,Rs 400.00,Rs 420.00,Rs 410.00
Chilli Green(Bullet),KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Machhe),KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Akbare),KG,Rs 90.00,Rs 100.00,Rs 95.00
Capsicum,KG,Rs 120.00,Rs 140.00,Rs 130.00
Garlic Green,KG,Rs 180.00,Rs 200.00,Rs 190.00
Coriander Green,KG,Rs 100.00,Rs 150.00,Rs 125.00
Garlic Dry Chinese,KG,Rs 160.00,Rs 170.00,Rs 165.00
Garlic Dry Nepali,KG,Rs 120.00,Rs 130.00,Rs 123.33
Clive Dry,KG,Rs 200.00,Rs 220.00,Rs 210.00
Fish Fresh(Rahu),KG,Rs 340.00,Rs 350.00,Rs 346.67
Fish Fresh(Bachuwa),KG,Rs 230.00,Rs 250.00,Rs 240.00
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 250.00,Rs 246.67
Fish Fresh(Mungari),KG,Rs 220.00,Rs 240.00,Rs 230.00
