commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 35.00,Rs 40.00,Rs 38.00
Tomato Small(Local),KG,Rs 20.00,Rs 25.00,Rs 22.00
Potato Red,KG,Rs 30.00,Rs 32.00,Rs 31.00
Potato White,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),KG,Rs 24.00,Rs 26.00,Rs 25.00
Carrot(Local),KG,Rs 50.00,Rs 55.00,Rs 52.00
Cabbage(Local),KG,Rs 20.00,Rs 24.00,Rs 22.00
Cauli Local,KG,Rs 35.00,Rs 40.00,Rs 38.00
Raddish White(Local),KG,Rs 25.00,Rs 30.00,Rs 28.00
Brinjal Long,KG,Rs 40.00,Rs 45.00,Rs 42.00
Brinjal Round,KG,Rs 40.00,Rs 45.00,Rs 42.00
Cow pea(Long),KG,Rs 25.00,Rs 30.00,Rs 28.00
Green Peas,KG,Rs 95.00,Rs 100.00,Rs 98.00
French Bean(Local),KG,Rs 30.00,Rs 35.00,Rs 33.00
Bitter Gourd,KG,Rs 35.00,Rs 40.00,Rs 38.00
Bottle Gourd,KG,Rs 30.00,Rs 35.00,Rs 33.00
Pointed Gourd(Local),KG,Rs 35.00,Rs 40.00,Rs 38.00
Snake Gourd,KG,Rs 45.00,Rs 50.00,Rs 48.00
Smooth Gourd,KG,Rs 45.00,Rs 50.00,Rs 48.00
Pumpkin,KG,Rs 28.00,Rs 30.00,Rs 29.00
Squash(Long),KG,Rs 20.00,Rs 25.00,Rs 22.00
Okara,KG,Rs 35.00,Rs 40.00,Rs 38.00
Christophine,KG,Rs 35.00,Rs 40.00,Rs 38.00
Brd Leaf Mustard,KG,Rs 50.00,Rs 60.00,Rs 55.00
Spinach Leaf,KG,Rs 90.00,Rs 95.00,Rs 93.00
Cress Leaf,KG,Rs 90.00,Rs 95.00,Rs 93.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Fenugreek Leaf,KG,Rs 90.00,Rs 95.00,Rs 93.00
Onion Green,KG,Rs 35.00,Rs 40.00,Rs 38.00
Mushroom(Kanya),KG,Rs 130.00,Rs 140.00,Rs 135.00
Brocauli,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sugarbeet,KG,Rs 50.00,Rs 60.00,Rs 55.00
Red Cabbbage,KG,Rs 50.00,Rs 60.00,Rs 55.00
Lettuce,KG,Rs 90.00,Rs 95.00,Rs 93.00
Knolkhol,KG,Rs 50.00,Rs 60.00,Rs 55.00
Celery,KG,Rs 140.00,Rs 150.00,Rs 145.00
Parseley,KG,Rs 140.00,Rs 150.00,Rs 145.00
Fennel Leaf,KG,Rs 90.00,Rs 95.00,Rs 93.00
Mint,KG,Rs 140.00,Rs 150.00,Rs 145.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tofu,KG,Rs 60.00,Rs 70.00,Rs 65.00
Gundruk,KG,Rs 150.00,Rs 160.00,Rs 155.00
Apple(Jholey),KG,Rs 90.00,Rs 100.00,Rs 95.00
Banana,Per Dozen,Rs 90.00,Rs 100.00,Rs 95.00
Lime,KG,Rs 200.00,Rs 250.00,Rs 225.00
Pomegranate,KG,Rs 270.00,Rs 280.00,Rs 275.00
Mango(Maldah),KG,Rs 140.00,Rs 150.00,Rs 145.00
Grapes(Green),KG,Rs 220.00,Rs 230.00,Rs 225.00
Water Melon(Green),KG,Rs 20.00,Rs 25.00,Rs 23.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 100.00,Rs 110.00,Rs 105.00
Cucumber(Local),KG,Rs 40.00,Rs 45.00,Rs 42.00
Jack Fruit,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Local),KG,Rs 150.00,Rs 160.00,Rs 155.00
Papaya(Nepali),KG,Rs 65.00,Rs 70.00,Rs 68.00
Ginger,KG,Rs 95.00,Rs 100.00,Rs 98.00
Chilli Dry,KG,Rs 190.00,Rs 200.00,Rs 195.00
Chilli Green,KG,Rs 50.00,Rs 55.00,Rs 52.00
Capsicum,KG,Rs 50.00,Rs 55.00,Rs 52.00
Garlic Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Coriander Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Garlic Dry Chinese,KG,Rs 140.00,Rs 150.00,Rs 145.00
Garlic Dry Nepali,KG,Rs 90.00,Rs 100.00,Rs 95.00
Clive Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Fish Fresh,KG,Rs 230.00,Rs 240.00,Rs 235.00
