commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 56.67
Tomato Small(Local),KG,Rs 25.00,Rs 35.00,Rs 30.00
Tomato Small(Tunnel),KG,Rs 40.00,Rs 50.00,Rs 43.00
Tomato Small(Indian),KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Terai),KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,KG,Rs 40.00,Rs 42.00,Rs 41.00
Potato Red(Indian),KG,Rs 30.00,Rs 32.00,Rs 31.00
Potato Red(Mude),KG,Rs 40.00,Rs 42.00,Rs 41.00
Potato White,KG,Rs 30.00,Rs 32.00,Rs 31.00
Onion Dry (Indian),KG,Rs 34.00,Rs 35.00,Rs 34.50
Carrot(Local),KG,Rs 70.00,Rs 80.00,Rs 76.00
Cauli Local,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cauli Local(Jyapu),KG,Rs 80.00,Rs 90.00,Rs 86.67
Raddish White(Hybrid),KG,Rs 25.00,Rs 30.00,Rs 27.50
Brinjal Long,KG,Rs 25.00,Rs 35.00,Rs 30.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cowpea(Short),KG,Rs 50.00,Rs 60.00,Rs 56.67
Green Peas,KG,Rs 180.00,Rs 200.00,Rs 190.00
French Bean(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 56.67
French Bean(Rajma),KG,Rs 90.00,Rs 100.00,Rs 96.67
Soyabean Green,KG,Rs 110.00,Rs 120.00,Rs 116.67
Bitter Gourd,KG,Rs 30.00,Rs 35.00,Rs 32.50
Bottle Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pointed Gourd(Local),KG,Rs 80.00,Rs 90.00,Rs 85.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 76.67
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,KG,Rs 45.00,Rs 55.00,Rs 49.00
Sponge Gourd,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pumpkin,KG,Rs 45.00,Rs 50.00,Rs 47.50
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,KG,Rs 45.00,Rs 55.00,Rs 49.00
Barela,KG,Rs 110.00,Rs 120.00,Rs 115.00
Brd Leaf Mustard,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,KG,Rs 110.00,Rs 120.00,Rs 115.00
Cress Leaf,KG,Rs 110.00,Rs 120.00,Rs 116.67
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 46.67
Fenugreek Leaf,KG,Rs 110.00,Rs 120.00,Rs 116.67
Onion Green,KG,Rs 70.00,Rs 80.00,Rs 76.67
Mushroom(Kanya),KG,Rs 130.00,Rs 150.00,Rs 140.00
Mushroom(Button),KG,Rs 280.00,Rs 320.00,Rs 296.00
Asparagus,KG,Rs 250.00,Rs 300.00,Rs 283.33
Neuro,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 75.00
Drumstick,KG,Rs 70.00,Rs 80.00,Rs 75.00
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 66.67
Lettuce,KG,Rs 70.00,Rs 80.00,Rs 76.67
Knolkhol,KG,Rs 70.00,Rs 80.00,Rs 76.67
Celery,KG,Rs 120.00,Rs 150.00,Rs 140.00
Parseley,KG,Rs 180.00,Rs 200.00,Rs 193.33
