commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Local),KG,Rs 8.00,Rs 12.00,Rs 9.60
Tomato Small(Tunnel),KG,Rs 12.00,Rs 17.00,Rs 14.20
Potato Red,KG,Rs 56.00,Rs 58.00,Rs 57.00
Potato Red(Indian),KG,Rs 26.00,Rs 29.00,Rs 27.75
Potato Red(Mude),KG,Rs 46.00,Rs 50.00,Rs 47.60
Potato White,KG,Rs 41.00,Rs 42.00,Rs 41.50
Onion Dry (Indian),KG,Rs 40.00,Rs 45.00,Rs 42.40
Carrot(Local),KG,Rs 150.00,Rs 160.00,Rs 155.00
Carrot(Terai),KG,Rs 140.00,Rs 150.00,Rs 146.67
Cabbage(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,KG,Rs 60.00,Rs 80.00,Rs 70.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish White(Local),KG,Rs 20.00,Rs 25.00,Rs 22.50
Raddish White(Hybrid),KG,Rs 25.00,Rs 30.00,Rs 28.33
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 66.67
Cow pea(Long),KG,Rs 60.00,Rs 80.00,Rs 72.00
Cowpea(Short),KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Local),KG,Rs 70.00,Rs 90.00,Rs 78.00
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 76.67
Sword Bean,KG,Rs 180.00,Rs 200.00,Rs 190.00
Soyabean Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 70.00,Rs 90.00,Rs 82.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 76.67
Snake Gourd,KG,Rs 40.00,Rs 45.00,Rs 42.50
Smooth Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sponge Gourd,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pumpkin,KG,Rs 40.00,Rs 45.00,Rs 43.00
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 46.67
Okara,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,KG,Rs 40.00,Rs 50.00,Rs 45.00
Christophine,KG,Rs 15.00,Rs 20.00,Rs 17.00
Brd Leaf Mustard,KG,Rs 170.00,Rs 180.00,Rs 175.00
Spinach Leaf,KG,Rs 250.00,Rs 300.00,Rs 283.33
Cress Leaf,KG,Rs 280.00,Rs 300.00,Rs 290.00
Mustard Leaf,KG,Rs 80.00,Rs 90.00,Rs 86.67
Onion Green,KG,Rs 150.00,Rs 200.00,Rs 176.67
Mushroom(Kanya),KG,Rs 200.00,Rs 220.00,Rs 210.00
Mushroom(Button),KG,Rs 320.00,Rs 350.00,Rs 334.00
Asparagus,KG,Rs 800.00,Rs 999.99,Rs 875.00
Neuro,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,KG,Rs 250.00,Rs 300.00,Rs 275.00
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 86.67
Drumstick,KG,Rs 180.00,Rs 200.00,Rs 193.33
Celery,KG,Rs 400.00,Rs 450.00,Rs 425.00
Turnip A,KG,Rs 80.00,Rs 90.00,Rs 86.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 90.00,Rs 100.00,Rs 96.67
Gundruk,KG,Rs 180.00,Rs 200.00,Rs 190.00
Apple(Jholey),KG,Rs 190.00,Rs 200.00,Rs 196.67
Banana,Per Dozen,Rs 90.00,Rs 100.00,Rs 96.67
Lime,KG,Rs 200.00,Rs 220.00,Rs 210.00
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 333.33
Orange(Indian),KG,Rs 120.00,Rs 130.00,Rs 126.67
Water Melon(Green),KG,Rs 40.00,Rs 50.00,Rs 46.67
Sweet Orange,KG,Rs 120.00,Rs 130.00,Rs 125.00
Pineapple,1 Pc,Rs 150.00,Rs 160.00,Rs 156.67
Cucumber(Local),KG,Rs 50.00,Rs 70.00,Rs 58.00
Cucumber(Hybrid),KG,Rs 20.00,Rs 30.00,Rs 25.00
Lemon,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Local),KG,Rs 70.00,Rs 80.00,Rs 76.67
Pear(Chinese),KG,Rs 190.00,Rs 200.00,Rs 196.67
Papaya(Indian),KG,Rs 80.00,Rs 90.00,Rs 86.67
Guava,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,KG,Rs 500.00,Rs 600.00,Rs 550.00
Ginger,KG,Rs 80.00,Rs 90.00,Rs 86.00
Chilli Dry,KG,Rs 300.00,Rs 320.00,Rs 314.00
Chilli Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Chilli Green(Bullet),KG,Rs 110.00,Rs 120.00,Rs 116.67
Chilli Green(Machhe),KG,Rs 50.00,Rs 60.00,Rs 56.67
Chilli Green(Akbare),KG,Rs 150.00,Rs 200.00,Rs 175.00
Capsicum,KG,Rs 110.00,Rs 130.00,Rs 122.00
Garlic Green,KG,Rs 280.00,Rs 300.00,Rs 293.33
Coriander Green,KG,Rs 450.00,Rs 500.00,Rs 483.33
Garlic Dry Chinese,KG,Rs 190.00,Rs 210.00,Rs 201.00
Garlic Dry Nepali,KG,Rs 160.00,Rs 170.00,Rs 166.67
Clive Dry,KG,Rs 280.00,Rs 300.00,Rs 293.33
Clive Green,KG,Rs 280.00,Rs 300.00,Rs 290.00
Fish Fresh(Rahu),KG,Rs 270.00,Rs 280.00,Rs 276.67
Fish Fresh(Bachuwa),KG,Rs 225.00,Rs 235.00,Rs 231.67
Fish Fresh(Chhadi),KG,Rs 220.00,Rs 230.00,Rs 226.67
Fish Fresh(Mungari),KG,Rs 250.00,Rs 260.00,Rs 255.00
