commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 60.00,Rs 70.00,Rs 66.00
Tomato Small(Local),KG,Rs 16.00,Rs 20.00,Rs 18.00
Tomato Small(Tunnel),KG,Rs 22.00,Rs 32.00,Rs 27.80
Potato Red,KG,Rs 68.00,Rs 72.00,Rs 70.00
Potato Red(Indian),KG,Rs 56.00,Rs 58.00,Rs 57.00
Potato Red(Mude),KG,Rs 50.00,Rs 52.00,Rs 51.33
Potato White,KG,Rs 52.00,Rs 55.00,Rs 53.67
Onion Dry (Indian),KG,Rs 85.00,Rs 90.00,Rs 88.00
Carrot(Local),KG,Rs 90.00,Rs 100.00,Rs 96.67
Cabbage(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cauli Local(Jyapu),KG,Rs 100.00,Rs 120.00,Rs 113.33
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 70.00,Rs 80.00,Rs 73.33
Brinjal Round,KG,Rs 80.00,Rs 100.00,Rs 90.00
Cow pea(Long),KG,Rs 110.00,Rs 130.00,Rs 122.00
Cowpea(Short),KG,Rs 130.00,Rs 140.00,Rs 136.67
French Bean(Local),KG,Rs 120.00,Rs 150.00,Rs 134.00
French Bean(Hybrid),KG,Rs 120.00,Rs 150.00,Rs 133.33
French Bean(Rajma),KG,Rs 130.00,Rs 140.00,Rs 135.00
Sword Bean,KG,Rs 120.00,Rs 130.00,Rs 125.00
Soyabean Green,KG,Rs 140.00,Rs 160.00,Rs 150.00
Bitter Gourd,KG,Rs 60.00,Rs 70.00,Rs 64.00
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 46.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 76.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 76.67
Snake Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Smooth Gourd,KG,Rs 80.00,Rs 100.00,Rs 88.00
Sponge Gourd,KG,Rs 80.00,Rs 90.00,Rs 86.00
Pumpkin,KG,Rs 65.00,Rs 70.00,Rs 68.33
Squash(Round),KG,Rs 80.00,Rs 90.00,Rs 85.00
Okara,KG,Rs 60.00,Rs 70.00,Rs 66.00
Arum,KG,Rs 100.00,Rs 110.00,Rs 105.00
Christophine,KG,Rs 80.00,Rs 90.00,Rs 86.00
Brd Leaf Mustard,KG,Rs 100.00,Rs 150.00,Rs 133.33
Mustard Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Onion Green,KG,Rs 150.00,Rs 200.00,Rs 183.33
Mushroom(Kanya),KG,Rs 150.00,Rs 200.00,Rs 176.00
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 380.00
Asparagus,KG,Rs 250.00,Rs 350.00,Rs 300.00
Neuro,KG,Rs 90.00,Rs 100.00,Rs 96.67
Brocauli,KG,Rs 110.00,Rs 120.00,Rs 116.67
Sugarbeet,KG,Rs 60.00,Rs 70.00,Rs 66.67
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 66.67
Lettuce,KG,Rs 450.00,Rs 500.00,Rs 475.00
Celery,KG,Rs 250.00,Rs 300.00,Rs 275.00
Parseley,KG,Rs 600.00,Rs 700.00,Rs 650.00
Mint,KG,Rs 600.00,Rs 700.00,Rs 650.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 156.67
Bamboo Shoot,KG,Rs 100.00,Rs 120.00,Rs 110.00
Tofu,KG,Rs 150.00,Rs 160.00,Rs 156.67
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 146.67
Lime,KG,Rs 240.00,Rs 280.00,Rs 260.00
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 375.00
Mango(Maldah),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mango(Dushari),KG,Rs 90.00,Rs 100.00,Rs 96.67
Water Melon(Green),KG,Rs 65.00,Rs 70.00,Rs 68.33
Mandarin,KG,Rs 240.00,Rs 250.00,Rs 246.67
Pineapple,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),KG,Rs 70.00,Rs 80.00,Rs 76.00
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 46.00
Jack Fruit,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Local),KG,Rs 90.00,Rs 100.00,Rs 96.67
Pear(Chinese),KG,Rs 250.00,Rs 280.00,Rs 265.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Kiwi,KG,Rs 500.00,Rs 550.00,Rs 525.00
Avocado,KG,Rs 600.00,Rs 650.00,Rs 625.00
Ginger,KG,Rs 220.00,Rs 240.00,Rs 230.00
Chilli Dry,KG,Rs 460.00,Rs 480.00,Rs 470.00
Chilli Green,KG,Rs 100.00,Rs 120.00,Rs 110.00
Chilli Green(Bullet),KG,Rs 100.00,Rs 120.00,Rs 110.00
Chilli Green(Machhe),KG,Rs 70.00,Rs 80.00,Rs 76.00
Chilli Green(Akbare),KG,Rs 350.00,Rs 400.00,Rs 375.00
Capsicum,KG,Rs 100.00,Rs 120.00,Rs 110.00
Garlic Green,KG,Rs 150.00,Rs 200.00,Rs 175.00
Coriander Green,KG,Rs 400.00,Rs 500.00,Rs 466.67
Garlic Dry Chinese,KG,Rs 240.00,Rs 250.00,Rs 245.00
Garlic Dry Nepali,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Dry,KG,Rs 160.00,Rs 170.00,Rs 165.00
Fish Fresh(Rahu),KG,Rs 340.00,Rs 350.00,Rs 345.00
Fish Fresh(Bachuwa),KG,Rs 240.00,Rs 250.00,Rs 246.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 250.00,Rs 246.67
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
