commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 68.00,Rs 80.00,Rs 73.00
Tomato Small(Local),KG,Rs 56.00,Rs 68.00,Rs 62.00
Potato Red,KG,Rs 35.00,Rs 38.00,Rs 37.00
Potato White,KG,Rs 28.00,Rs 30.00,Rs 29.00
Onion Dry (Indian),KG,Rs 60.00,Rs 62.00,Rs 61.00
Carrot(Local),KG,Rs 65.00,Rs 80.00,Rs 73.00
Cabbage(Local),KG,Rs 30.00,Rs 32.00,Rs 31.00
Cauli Local,KG,Rs 35.00,Rs 42.00,Rs 39.00
Raddish White(Local),KG,Rs 12.00,Rs 18.00,Rs 15.00
Brinjal Long,KG,Rs 25.00,Rs 30.00,Rs 28.00
Brinjal Round,KG,Rs 35.00,Rs 40.00,Rs 38.00
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 48.00,Rs 55.00,Rs 51.00
Bitter Gourd,KG,Rs 75.00,Rs 80.00,Rs 78.00
Bottle Gourd,KG,Rs 40.00,Rs 45.00,Rs 43.00
Pointed Gourd(Local),KG,Rs 65.00,Rs 70.00,Rs 68.00
Smooth Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pumpkin,KG,Rs 22.00,Rs 24.00,Rs 23.00
Squash(Long),KG,Rs 25.00,Rs 30.00,Rs 28.00
Okara,KG,Rs 65.00,Rs 75.00,Rs 70.00
Sweet Potato,KG,Rs 45.00,Rs 50.00,Rs 48.00
Barela,KG,Rs 25.00,Rs 30.00,Rs 28.00
Arum,KG,Rs 35.00,Rs 40.00,Rs 38.00
Christophine,KG,Rs 10.00,Rs 15.00,Rs 12.00
Brd Leaf Mustard,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cress Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mustard Leaf,KG,Rs 35.00,Rs 45.00,Rs 40.00
Fenugreek Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Yam,KG,Rs 38.00,Rs 42.00,Rs 40.00
Mushroom(Kanya),KG,Rs 160.00,Rs 170.00,Rs 165.00
Brocauli,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sugarbeet,KG,Rs 65.00,Rs 70.00,Rs 68.00
Red Cabbbage,KG,Rs 90.00,Rs 100.00,Rs 95.00
Lettuce,KG,Rs 40.00,Rs 50.00,Rs 45.00
Celery,KG,Rs 90.00,Rs 100.00,Rs 95.00
Parseley,KG,Rs 90.00,Rs 100.00,Rs 95.00
Fennel Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mint,KG,Rs 70.00,Rs 80.00,Rs 75.00
Turnip A,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Apple(Jholey),KG,Rs 140.00,Rs 150.00,Rs 145.00
Banana,Per Dozen,Rs 90.00,Rs 100.00,Rs 95.00
Lime,KG,Rs 400.00,Rs 500.00,Rs 450.00
Pomegranate,KG,Rs 290.00,Rs 300.00,Rs 295.00
Orange(Nepali),KG,Rs 60.00,Rs 70.00,Rs 65.00
Water Melon(Green),KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Orange,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mandarin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pineapple,1 Pc,Rs 80.00,Rs 90.00,Rs 85.00
Cucumber(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Lemon,KG,Rs 35.00,Rs 40.00,Rs 38.00
Pear(Local),KG,Rs 250.00,Rs 260.00,Rs 255.00
Papaya(Nepali),KG,Rs 70.00,Rs 80.00,Rs 75.00
Mombin,KG,Rs 25.00,Rs 30.00,Rs 28.00
Ginger,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Dry,KG,Rs 270.00,Rs 280.00,Rs 275.00
Chilli Green,KG,Rs 35.00,Rs 40.00,Rs 38.00
Capsicum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Coriander Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Garlic Dry Chinese,KG,Rs 170.00,Rs 180.00,Rs 175.00
Garlic Dry Nepali,KG,Rs 160.00,Rs 170.00,Rs 165.00
Clive Dry,KG,Rs 80.00,Rs 90.00,Rs 85.00
Clive Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Fish Fresh,KG,Rs 240.00,Rs 250.00,Rs 245.00
