commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 45.00,Rs 50.00,Rs 48.00
Tomato Small(Local),KG,Rs 25.00,Rs 30.00,Rs 27.00
Tomato Small(Tunnel),KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Indian),KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,KG,Rs 62.00,Rs 65.00,Rs 63.50
Potato Red(Indian),KG,Rs 36.00,Rs 38.00,Rs 37.00
Potato Red(Mude),KG,Rs 48.00,Rs 50.00,Rs 49.20
Potato White,KG,Rs 52.00,Rs 55.00,Rs 54.00
Onion Dry (Indian),KG,Rs 115.00,Rs 120.00,Rs 118.00
Carrot(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Carrot(Terai),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Local),KG,Rs 50.00,Rs 60.00,Rs 56.00
Cauli Local,KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish White(Hybrid),KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Long,KG,Rs 15.00,Rs 25.00,Rs 19.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 60.00,Rs 70.00,Rs 65.00
Green Peas,KG,Rs 200.00,Rs 250.00,Rs 223.33
French Bean(Local),KG,Rs 15.00,Rs 25.00,Rs 20.00
French Bean(Hybrid),KG,Rs 15.00,Rs 25.00,Rs 20.00
French Bean(Rajma),KG,Rs 130.00,Rs 140.00,Rs 135.00
Sword Bean,KG,Rs 50.00,Rs 60.00,Rs 56.67
Soyabean Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,KG,Rs 20.00,Rs 30.00,Rs 26.67
Pointed Gourd(Local),KG,Rs 50.00,Rs 55.00,Rs 52.50
Pointed Gourd(Terai),KG,Rs 55.00,Rs 60.00,Rs 57.50
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pumpkin,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Turnip,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,KG,Rs 50.00,Rs 60.00,Rs 55.00
Arum,KG,Rs 50.00,Rs 60.00,Rs 56.67
Christophine,KG,Rs 10.00,Rs 15.00,Rs 12.50
Brd Leaf Mustard,KG,Rs 20.00,Rs 30.00,Rs 25.00
Spinach Leaf,KG,Rs 120.00,Rs 150.00,Rs 135.00
Cress Leaf,KG,Rs 50.00,Rs 80.00,Rs 62.50
Mustard Leaf,KG,Rs 25.00,Rs 30.00,Rs 28.33
Fenugreek Leaf,KG,Rs 200.00,Rs 220.00,Rs 210.00
Onion Green,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bakula,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mushroom(Kanya),KG,Rs 50.00,Rs 70.00,Rs 60.00
