commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 140.00,Rs 160.00,Rs 150.00
Tomato Small(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Tunnel),KG,Rs 85.00,Rs 100.00,Rs 94.00
Potato Red,KG,Rs 50.00,Rs 52.00,Rs 51.00
Potato Red(Indian),KG,Rs 35.00,Rs 36.00,Rs 35.50
Potato Red(Mude),KG,Rs 41.00,Rs 43.00,Rs 42.00
Potato White,KG,Rs 40.00,Rs 42.00,Rs 41.00
Onion Dry (Indian),KG,Rs 58.00,Rs 60.00,Rs 59.20
Carrot(Local),KG,Rs 100.00,Rs 120.00,Rs 112.50
Cabbage(Local),KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish Red,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Hybrid),KG,Rs 80.00,Rs 90.00,Rs 86.67
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 76.00
Cowpea(Short),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 76.00
Sword Bean,KG,Rs 70.00,Rs 80.00,Rs 75.00
Soyabean Green,KG,Rs 90.00,Rs 100.00,Rs 96.67
Bitter Gourd,KG,Rs 40.00,Rs 50.00,Rs 46.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),KG,Rs 55.00,Rs 65.00,Rs 60.00
Snake Gourd,KG,Rs 40.00,Rs 45.00,Rs 43.33
Smooth Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Sponge Gourd,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pumpkin,KG,Rs 50.00,Rs 55.00,Rs 53.33
Squash(Round),KG,Rs 70.00,Rs 80.00,Rs 76.67
