commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),KG,Rs 30.00,Rs 35.00,Rs 32.50
Tomato Small(Indian),KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Terai),KG,Rs 35.00,Rs 40.00,Rs 38.00
Potato Red,KG,Rs 45.00,Rs 50.00,Rs 48.00
Potato Red(Indian),KG,Rs 48.00,Rs 50.00,Rs 49.00
Potato White,KG,Rs 40.00,Rs 42.00,Rs 41.00
Onion Dry (Indian),KG,Rs 66.00,Rs 70.00,Rs 68.00
Carrot(Local),KG,Rs 70.00,Rs 80.00,Rs 76.67
Carrot(Terai),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cabbage(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cabbage(Terai),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cauli Local,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish White(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 66.67
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 76.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,KG,Rs 70.00,Rs 80.00,Rs 76.67
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Rajma),KG,Rs 70.00,Rs 80.00,Rs 76.67
Soyabean Green,KG,Rs 150.00,Rs 200.00,Rs 175.00
Bitter Gourd,KG,Rs 50.00,Rs 60.00,Rs 56.00
Bottle Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pointed Gourd(Terai),KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Smooth Gourd,KG,Rs 40.00,Rs 50.00,Rs 46.00
Sponge Gourd,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pumpkin,KG,Rs 40.00,Rs 45.00,Rs 42.00
Squash(Long),KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 25.00,Rs 40.00,Rs 33.00
Turnip,KG,Rs 80.00,Rs 90.00,Rs 85.00
Okara,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Barela,KG,Rs 80.00,Rs 90.00,Rs 85.00
Christophine,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brd Leaf Mustard,KG,Rs 70.00,Rs 80.00,Rs 76.67
Spinach Leaf,KG,Rs 130.00,Rs 140.00,Rs 136.67
Cress Leaf,KG,Rs 130.00,Rs 140.00,Rs 136.67
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,KG,Rs 130.00,Rs 140.00,Rs 135.00
