commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 56.67
Tomato Small(Local),KG,Rs 10.00,Rs 20.00,Rs 15.00
Tomato Small(Tunnel),KG,Rs 13.00,Rs 20.00,Rs 16.20
Tomato Small(Indian),KG,Rs 20.00,Rs 30.00,Rs 25.00
Tomato Small(Terai),KG,Rs 20.00,Rs 30.00,Rs 25.00
Potato Red,KG,Rs 32.00,Rs 33.00,Rs 32.60
Potato Red(Indian),KG,Rs 26.00,Rs 28.00,Rs 27.00
Potato White,KG,Rs 25.00,Rs 26.00,Rs 25.67
Onion Dry (Indian),KG,Rs 42.00,Rs 43.00,Rs 42.40
Carrot(Local),KG,Rs 25.00,Rs 30.00,Rs 28.00
Carrot(Terai),KG,Rs 18.00,Rs 25.00,Rs 20.20
Cabbage(Local),KG,Rs 15.00,Rs 20.00,Rs 18.00
Cabbage(Terai),KG,Rs 12.00,Rs 18.00,Rs 15.00
Cabbage,KG,Rs 15.00,Rs 20.00,Rs 17.50
Cauli Local,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),KG,Rs 60.00,Rs 70.00,Rs 66.67
Cauli Terai,KG,Rs 30.00,Rs 40.00,Rs 36.67
Raddish Red,KG,Rs 60.00,Rs 70.00,Rs 66.67
Raddish White(Local),KG,Rs 20.00,Rs 25.00,Rs 23.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 35.00,Rs 33.33
Brinjal Long,KG,Rs 60.00,Rs 70.00,Rs 65.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 66.67
Cow pea(Long),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cowpea(Short),KG,Rs 50.00,Rs 60.00,Rs 55.00
Green Peas,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Rajma),KG,Rs 80.00,Rs 90.00,Rs 86.67
Sword Bean,KG,Rs 50.00,Rs 60.00,Rs 57.50
Bitter Gourd,KG,Rs 120.00,Rs 140.00,Rs 128.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pumpkin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Long),KG,Rs 20.00,Rs 25.00,Rs 22.50
Squash(Round),KG,Rs 25.00,Rs 30.00,Rs 28.33
Turnip,KG,Rs 40.00,Rs 50.00,Rs 46.67
Okara,KG,Rs 140.00,Rs 150.00,Rs 146.00
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,KG,Rs 50.00,Rs 60.00,Rs 56.67
Arum,KG,Rs 40.00,Rs 50.00,Rs 45.00
Christophine,KG,Rs 40.00,Rs 50.00,Rs 46.67
Brd Leaf Mustard,KG,Rs 50.00,Rs 60.00,Rs 55.00
Spinach Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.00
Cress Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,KG,Rs 80.00,Rs 90.00,Rs 86.67
Bakula,KG,Rs 50.00,Rs 60.00,Rs 56.67
Yam,KG,Rs 70.00,Rs 80.00,Rs 76.67
Mushroom(Kanya),KG,Rs 130.00,Rs 160.00,Rs 145.00
Mushroom(Button),KG,Rs 340.00,Rs 380.00,Rs 356.00
Asparagus,KG,Rs 0.00,Rs 0.00,Rs 0.00
Brocauli,KG,Rs 60.00,Rs 70.00,Rs 66.00
Sugarbeet,KG,Rs 60.00,Rs 70.00,Rs 65.00
Red Cabbbage,KG,Rs 70.00,Rs 80.00,Rs 76.67
Lettuce,KG,Rs 50.00,Rs 60.00,Rs 56.67
Knolkhol,KG,Rs 50.00,Rs 60.00,Rs 56.67
Celery,KG,Rs 250.00,Rs 300.00,Rs 283.33
Parseley,KG,Rs 400.00,Rs 450.00,Rs 425.00
Fennel Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mint,KG,Rs 400.00,Rs 500.00,Rs 450.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 66.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 120.00,Rs 130.00,Rs 126.67
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 283.33
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 275.00
Banana,Per Dozen,Rs 120.00,Rs 130.00,Rs 126.67
Lime,KG,Rs 120.00,Rs 130.00,Rs 126.67
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 325.00
Grapes(Green),KG,Rs 180.00,Rs 200.00,Rs 193.33
Grapes(Black),KG,Rs 300.00,Rs 320.00,Rs 310.00
Orange(Nepali),KG,Rs 125.00,Rs 150.00,Rs 136.00
Water Melon(Green),KG,Rs 40.00,Rs 50.00,Rs 45.00
Sweet Orange,KG,Rs 150.00,Rs 180.00,Rs 165.00
Mandarin,KG,Rs 220.00,Rs 250.00,Rs 240.00
Pineapple,1 Pc,Rs 150.00,Rs 180.00,Rs 170.00
Cucumber(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cucumber(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Jack Fruit,KG,Rs 110.00,Rs 120.00,Rs 116.67
Lemon,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 240.00
Papaya(Nepali),KG,Rs 70.00,Rs 80.00,Rs 75.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Guava,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mombin,KG,Rs 180.00,Rs 200.00,Rs 193.33
Sugarcane,Per Piece,Rs 80.00,Rs 90.00,Rs 86.67
Kinnow,KG,Rs 120.00,Rs 140.00,Rs 130.00
Strawberry,KG,Rs 350.00,Rs 450.00,Rs 400.00
Kiwi,KG,Rs 250.00,Rs 300.00,Rs 283.33
Avocado,KG,Rs 300.00,Rs 350.00,Rs 333.33
Amla,KG,Rs 50.00,Rs 60.00,Rs 56.67
Ginger,KG,Rs 70.00,Rs 80.00,Rs 74.00
Chilli Dry,KG,Rs 450.00,Rs 480.00,Rs 465.00
Chilli Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Bullet),KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Machhe),KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Akbare),KG,Rs 500.00,Rs 600.00,Rs 550.00
Capsicum,KG,Rs 60.00,Rs 70.00,Rs 65.00
Garlic Green,KG,Rs 120.00,Rs 130.00,Rs 126.67
Coriander Green,KG,Rs 120.00,Rs 150.00,Rs 135.00
Garlic Dry Chinese,KG,Rs 180.00,Rs 190.00,Rs 185.00
Garlic Dry Nepali,KG,Rs 80.00,Rs 90.00,Rs 86.67
Clive Dry,KG,Rs 250.00,Rs 300.00,Rs 283.33
Clive Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Fish Fresh(Rahu),KG,Rs 360.00,Rs 400.00,Rs 380.00
Fish Fresh(Bachuwa),KG,Rs 260.00,Rs 300.00,Rs 280.00
Fish Fresh(Chhadi),KG,Rs 250.00,Rs 300.00,Rs 275.00
Fish Fresh(Mungari),KG,Rs 280.00,Rs 320.00,Rs 300.00
Tree Tomato,Kg,Rs 130.00,Rs 140.00,Rs 136.67
