commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),KG,Rs 40.00,Rs 50.00,Rs 46.67
Tomato Small(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Tunnel),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Indian),KG,Rs 45.00,Rs 55.00,Rs 49.00
Tomato Small(Terai),KG,Rs 50.00,Rs 60.00,Rs 55.00
Potato Red,KG,Rs 24.00,Rs 26.00,Rs 25.00
Potato Red(Indian),KG,Rs 20.00,Rs 22.00,Rs 21.00
Potato White,KG,Rs 16.00,Rs 18.00,Rs 17.00
Onion Dry (Indian),KG,Rs 35.00,Rs 38.00,Rs 36.00
Carrot(Local),KG,Rs 30.00,Rs 35.00,Rs 32.50
Carrot(Terai),KG,Rs 25.00,Rs 30.00,Rs 28.33
Cabbage(Local),KG,Rs 15.00,Rs 20.00,Rs 17.50
Cabbage,KG,Rs 15.00,Rs 20.00,Rs 17.50
Cauli Local,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),KG,Rs 50.00,Rs 60.00,Rs 56.67
Raddish Red,KG,Rs 60.00,Rs 70.00,Rs 66.67
Raddish White(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,KG,Rs 60.00,Rs 70.00,Rs 66.67
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 66.67
Cow pea(Long),KG,Rs 200.00,Rs 220.00,Rs 210.00
Cowpea(Short),KG,Rs 180.00,Rs 190.00,Rs 185.00
French Bean(Local),KG,Rs 60.00,Rs 70.00,Rs 66.67
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 76.67
French Bean(Rajma),KG,Rs 140.00,Rs 150.00,Rs 146.67
Sword Bean,KG,Rs 70.00,Rs 80.00,Rs 76.67
Bitter Gourd,KG,Rs 120.00,Rs 130.00,Rs 126.67
Bottle Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),KG,Rs 110.00,Rs 120.00,Rs 115.00
Smooth Gourd,KG,Rs 120.00,Rs 140.00,Rs 127.50
Pumpkin,KG,Rs 45.00,Rs 50.00,Rs 48.33
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 46.67
Turnip,KG,Rs 60.00,Rs 70.00,Rs 66.67
Okara,KG,Rs 110.00,Rs 120.00,Rs 116.67
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,KG,Rs 40.00,Rs 50.00,Rs 46.67
Christophine,KG,Rs 45.00,Rs 55.00,Rs 50.00
Brd Leaf Mustard,KG,Rs 70.00,Rs 80.00,Rs 76.67
Spinach Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.67
Cress Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 46.67
Fenugreek Leaf,KG,Rs 90.00,Rs 100.00,Rs 96.67
Onion Green,KG,Rs 50.00,Rs 60.00,Rs 56.67
Bakula,KG,Rs 60.00,Rs 70.00,Rs 66.67
Yam,KG,Rs 70.00,Rs 80.00,Rs 75.00
Mushroom(Kanya),KG,Rs 140.00,Rs 180.00,Rs 157.50
Mushroom(Button),KG,Rs 300.00,Rs 350.00,Rs 325.00
Asparagus,KG,Rs 450.00,Rs 550.00,Rs 500.00
Neuro,KG,Rs 100.00,Rs 120.00,Rs 110.00
Brocauli,KG,Rs 70.00,Rs 80.00,Rs 76.67
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 75.00
Drumstick,KG,Rs 150.00,Rs 180.00,Rs 163.33
Bauhania flower,KG,Rs 120.00,Rs 150.00,Rs 140.00
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 66.67
Lettuce,KG,Rs 50.00,Rs 60.00,Rs 56.67
Knolkhol,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,KG,Rs 120.00,Rs 150.00,Rs 135.00
Parseley,KG,Rs 250.00,Rs 300.00,Rs 275.00
Fennel Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mint,KG,Rs 250.00,Rs 300.00,Rs 275.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 120.00,Rs 130.00,Rs 125.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),KG,Rs 200.00,Rs 220.00,Rs 213.33
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 276.67
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,KG,Rs 260.00,Rs 300.00,Rs 280.00
Pomegranate,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),KG,Rs 120.00,Rs 150.00,Rs 135.00
Grapes(Black),KG,Rs 200.00,Rs 220.00,Rs 213.33
Orange(Indian),KG,Rs 120.00,Rs 150.00,Rs 135.00
Water Melon(Green),KG,Rs 40.00,Rs 45.00,Rs 42.50
Sweet Orange,KG,Rs 150.00,Rs 180.00,Rs 165.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 46.67
Jack Fruit,KG,Rs 100.00,Rs 110.00,Rs 106.67
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),KG,Rs 80.00,Rs 90.00,Rs 86.67
Papaya(Indian),KG,Rs 110.00,Rs 120.00,Rs 116.67
Guava,KG,Rs 200.00,Rs 220.00,Rs 210.00
Mombin,KG,Rs 300.00,Rs 350.00,Rs 325.00
Sugarcane,Per Piece,Rs 120.00,Rs 130.00,Rs 125.00
Kinnow,KG,Rs 120.00,Rs 150.00,Rs 135.00
Strawberry,KG,Rs 300.00,Rs 400.00,Rs 350.00
Kiwi,KG,Rs 400.00,Rs 500.00,Rs 450.00
Avocado,KG,Rs 500.00,Rs 600.00,Rs 550.00
Amla,KG,Rs 80.00,Rs 90.00,Rs 85.00
Ginger,KG,Rs 100.00,Rs 110.00,Rs 105.00
Chilli Dry,KG,Rs 420.00,Rs 450.00,Rs 435.00
Chilli Green,KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Machhe),KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Akbare),KG,Rs 300.00,Rs 350.00,Rs 325.00
Capsicum,KG,Rs 140.00,Rs 160.00,Rs 150.00
Garlic Green,KG,Rs 50.00,Rs 60.00,Rs 56.67
Coriander Green,KG,Rs 30.00,Rs 50.00,Rs 40.00
Garlic Dry Chinese,KG,Rs 170.00,Rs 180.00,Rs 175.00
Garlic Dry Nepali,KG,Rs 130.00,Rs 140.00,Rs 135.00
Clive Dry,KG,Rs 300.00,Rs 350.00,Rs 325.00
Clive Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Fish Fresh(Rahu),KG,Rs 330.00,Rs 360.00,Rs 346.67
Fish Fresh(Bachuwa),KG,Rs 260.00,Rs 280.00,Rs 273.33
Fish Fresh(Chhadi),KG,Rs 250.00,Rs 300.00,Rs 276.67
Fish Fresh(Mungari),KG,Rs 300.00,Rs 320.00,Rs 310.00
Tree Tomato,Kg,Rs 120.00,Rs 140.00,Rs 130.00
