commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 60.00,Rs 70.00,Rs 66.67
Tomato Big(Indian),KG,Rs 60.00,Rs 70.00,Rs 66.67
Tomato Small(Local),KG,Rs 14.00,Rs 18.00,Rs 16.00
Tomato Small(Indian),KG,Rs 25.00,Rs 30.00,Rs 27.50
Tomato Small(Terai),KG,Rs 25.00,Rs 30.00,Rs 28.00
Potato Red,KG,Rs 38.00,Rs 42.00,Rs 40.40
Potato Red(Indian),KG,Rs 32.00,Rs 35.00,Rs 33.50
Potato White,KG,Rs 28.00,Rs 30.00,Rs 29.33
Onion Dry (Indian),KG,Rs 54.00,Rs 56.00,Rs 55.20
Carrot(Local),KG,Rs 60.00,Rs 70.00,Rs 66.67
Carrot(Terai),KG,Rs 50.00,Rs 60.00,Rs 56.67
Cabbage(Local),KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cauli Local(Jyapu),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Terai,KG,Rs 25.00,Rs 30.00,Rs 27.50
Raddish Red,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),KG,Rs 25.00,Rs 35.00,Rs 30.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 30.00,Rs 40.00,Rs 36.67
Brinjal Round,KG,Rs 30.00,Rs 40.00,Rs 36.67
Green Peas,KG,Rs 60.00,Rs 80.00,Rs 70.00
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 76.67
Sword Bean,KG,Rs 30.00,Rs 35.00,Rs 32.50
Bitter Gourd,KG,Rs 120.00,Rs 130.00,Rs 126.67
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pumpkin,KG,Rs 30.00,Rs 35.00,Rs 32.50
Squash(Long),KG,Rs 20.00,Rs 25.00,Rs 23.33
Squash(Round),KG,Rs 15.00,Rs 20.00,Rs 18.00
Turnip,KG,Rs 60.00,Rs 70.00,Rs 66.67
Okara,KG,Rs 120.00,Rs 130.00,Rs 125.00
Sweet Potato,KG,Rs 50.00,Rs 60.00,Rs 56.67
Arum,KG,Rs 40.00,Rs 50.00,Rs 46.67
Brd Leaf Mustard,KG,Rs 20.00,Rs 30.00,Rs 26.67
Spinach Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cress Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Mustard Leaf,KG,Rs 30.00,Rs 40.00,Rs 36.67
Fenugreek Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Onion Green,KG,Rs 50.00,Rs 60.00,Rs 56.67
Bakula,KG,Rs 80.00,Rs 90.00,Rs 86.67
Fennel Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 66.67
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 156.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 90.00,Rs 100.00,Rs 96.67
Gundruk,KG,Rs 200.00,Rs 250.00,Rs 225.00
Apple(Fuji),KG,Rs 250.00,Rs 280.00,Rs 265.00
