commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Local),KG,Rs 14.00,Rs 18.00,Rs 15.80
Tomato Small(Tunnel),KG,Rs 22.00,Rs 28.00,Rs 26.00
Potato Red,KG,Rs 58.00,Rs 60.00,Rs 59.00
Potato Red(Indian),KG,Rs 30.00,Rs 32.00,Rs 31.00
Potato Red(Mude),KG,Rs 48.00,Rs 50.00,Rs 49.00
Potato White,KG,Rs 41.00,Rs 42.00,Rs 41.50
Onion Dry (Indian),KG,Rs 48.00,Rs 50.00,Rs 49.20
Carrot(Local),KG,Rs 130.00,Rs 150.00,Rs 140.00
Carrot(Terai),KG,Rs 90.00,Rs 100.00,Rs 96.67
Cabbage(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cauli Local,KG,Rs 70.00,Rs 90.00,Rs 78.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 46.67
Raddish White(Local),KG,Rs 20.00,Rs 30.00,Rs 24.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 35.00,Rs 33.33
Brinjal Long,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),KG,Rs 100.00,Rs 120.00,Rs 110.00
Cowpea(Short),KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
Sword Bean,KG,Rs 150.00,Rs 180.00,Rs 163.33
Soyabean Green,KG,Rs 120.00,Rs 140.00,Rs 130.00
Bitter Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bottle Gourd,KG,Rs 30.00,Rs 40.00,Rs 36.67
Pointed Gourd(Local),KG,Rs 80.00,Rs 90.00,Rs 86.67
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 75.00
Snake Gourd,KG,Rs 35.00,Rs 40.00,Rs 38.33
Smooth Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sponge Gourd,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pumpkin,KG,Rs 35.00,Rs 40.00,Rs 38.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Okara,KG,Rs 60.00,Rs 80.00,Rs 68.00
Sweet Potato,KG,Rs 110.00,Rs 120.00,Rs 116.67
Arum,KG,Rs 40.00,Rs 50.00,Rs 46.67
Christophine,KG,Rs 12.00,Rs 18.00,Rs 15.50
Brd Leaf Mustard,KG,Rs 180.00,Rs 200.00,Rs 193.33
Spinach Leaf,KG,Rs 200.00,Rs 220.00,Rs 206.67
Cress Leaf,KG,Rs 200.00,Rs 250.00,Rs 225.00
Mustard Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Onion Green,KG,Rs 200.00,Rs 220.00,Rs 213.33
Mushroom(Kanya),KG,Rs 200.00,Rs 250.00,Rs 223.33
Mushroom(Button),KG,Rs 400.00,Rs 430.00,Rs 416.67
Asparagus,KG,Rs 700.00,Rs 800.00,Rs 750.00
Neuro,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,KG,Rs 200.00,Rs 250.00,Rs 225.00
Sugarbeet,KG,Rs 90.00,Rs 100.00,Rs 95.00
Drumstick,KG,Rs 180.00,Rs 200.00,Rs 190.00
Red Cabbbage,KG,Rs 450.00,Rs 500.00,Rs 475.00
Lettuce,KG,Rs 450.00,Rs 500.00,Rs 475.00
Celery,KG,Rs 450.00,Rs 500.00,Rs 475.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 93.33
Tofu,KG,Rs 90.00,Rs 100.00,Rs 93.33
Gundruk,KG,Rs 150.00,Rs 200.00,Rs 175.00
Apple(Fuji),KG,Rs 220.00,Rs 240.00,Rs 230.00
Banana,Per Dozen,Rs 110.00,Rs 120.00,Rs 115.00
Lime,KG,Rs 160.00,Rs 180.00,Rs 173.33
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 325.00
Orange(Indian),KG,Rs 120.00,Rs 130.00,Rs 126.67
Water Melon(Green),KG,Rs 40.00,Rs 50.00,Rs 46.67
Sweet Orange,KG,Rs 120.00,Rs 130.00,Rs 125.00
Pineapple,1 Pc,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),KG,Rs 40.00,Rs 50.00,Rs 46.00
Cucumber(Hybrid),KG,Rs 20.00,Rs 25.00,Rs 23.33
Jack Fruit,KG,Rs 40.00,Rs 50.00,Rs 45.00
Lemon,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Local),KG,Rs 60.00,Rs 70.00,Rs 66.67
Pear(Chinese),KG,Rs 190.00,Rs 200.00,Rs 195.00
Papaya(Indian),KG,Rs 70.00,Rs 80.00,Rs 76.67
Guava,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,KG,Rs 500.00,Rs 600.00,Rs 550.00
Ginger,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Dry,KG,Rs 300.00,Rs 320.00,Rs 310.00
Chilli Green,KG,Rs 50.00,Rs 60.00,Rs 56.67
Chilli Green(Bullet),KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Machhe),KG,Rs 50.00,Rs 60.00,Rs 56.67
Chilli Green(Akbare),KG,Rs 140.00,Rs 150.00,Rs 146.67
Capsicum,KG,Rs 100.00,Rs 110.00,Rs 105.00
Garlic Green,KG,Rs 350.00,Rs 400.00,Rs 375.00
Coriander Green,KG,Rs 300.00,Rs 350.00,Rs 325.00
Garlic Dry Chinese,KG,Rs 220.00,Rs 230.00,Rs 226.00
Garlic Dry Nepali,KG,Rs 190.00,Rs 200.00,Rs 196.67
Clive Dry,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,KG,Rs 150.00,Rs 180.00,Rs 165.00
Fish Fresh(Rahu),KG,Rs 270.00,Rs 280.00,Rs 276.67
Fish Fresh(Bachuwa),KG,Rs 225.00,Rs 235.00,Rs 230.00
Fish Fresh(Chhadi),KG,Rs 220.00,Rs 230.00,Rs 226.67
Fish Fresh(Mungari),KG,Rs 240.00,Rs 250.00,Rs 246.67
