commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 40.00,Rs 50.00,Rs 46.67
Tomato Small(Local),KG,Rs 5.00,Rs 8.00,Rs 6.60
Tomato Small(Tunnel),KG,Rs 8.00,Rs 12.00,Rs 10.00
Potato Red,KG,Rs 40.00,Rs 45.00,Rs 42.50
Potato Red(Mude),KG,Rs 38.00,Rs 40.00,Rs 39.33
Potato White,KG,Rs 32.00,Rs 35.00,Rs 33.50
Carrot(Local),KG,Rs 110.00,Rs 120.00,Rs 115.00
Cabbage(Local),KG,Rs 10.00,Rs 15.00,Rs 12.40
Cauli Local,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),KG,Rs 60.00,Rs 70.00,Rs 66.67
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Local),KG,Rs 12.00,Rs 15.00,Rs 13.50
Raddish White(Hybrid),KG,Rs 15.00,Rs 20.00,Rs 17.67
Brinjal Long,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cowpea(Short),KG,Rs 40.00,Rs 50.00,Rs 46.67
Green Peas,KG,Rs 160.00,Rs 180.00,Rs 170.00
French Bean(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
French Bean(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
French Bean(Rajma),KG,Rs 80.00,Rs 90.00,Rs 86.67
Sword Bean,KG,Rs 130.00,Rs 140.00,Rs 136.67
Soyabean Green,KG,Rs 130.00,Rs 150.00,Rs 140.00
Bitter Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bottle Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 56.00
Pointed Gourd(Terai),KG,Rs 40.00,Rs 50.00,Rs 46.67
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 36.67
Smooth Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Sponge Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pumpkin,KG,Rs 30.00,Rs 35.00,Rs 33.33
Squash(Long),KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Turnip,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Christophine,KG,Rs 40.00,Rs 50.00,Rs 46.67
Brd Leaf Mustard,KG,Rs 30.00,Rs 40.00,Rs 36.67
Spinach Leaf,KG,Rs 100.00,Rs 110.00,Rs 106.67
Cress Leaf,KG,Rs 100.00,Rs 110.00,Rs 105.00
Mustard Leaf,KG,Rs 30.00,Rs 40.00,Rs 36.67
Fenugreek Leaf,KG,Rs 100.00,Rs 110.00,Rs 106.67
Onion Green,KG,Rs 60.00,Rs 70.00,Rs 66.67
Mushroom(Kanya),KG,Rs 150.00,Rs 180.00,Rs 164.00
Mushroom(Button),KG,Rs 300.00,Rs 350.00,Rs 325.00
Asparagus,KG,Rs 250.00,Rs 300.00,Rs 275.00
Neuro,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 76.67
Drumstick,KG,Rs 70.00,Rs 80.00,Rs 76.67
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 66.67
Lettuce,KG,Rs 60.00,Rs 70.00,Rs 66.67
Knolkhol,KG,Rs 80.00,Rs 90.00,Rs 86.67
Celery,KG,Rs 100.00,Rs 120.00,Rs 106.67
Parseley,KG,Rs 220.00,Rs 250.00,Rs 240.00
Fennel Leaf,KG,Rs 100.00,Rs 110.00,Rs 105.00
Mint,KG,Rs 120.00,Rs 150.00,Rs 135.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,KG,Rs 130.00,Rs 140.00,Rs 136.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 100.00,Rs 110.00,Rs 106.67
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),KG,Rs 280.00,Rs 320.00,Rs 300.00
Banana,Per Dozen,Rs 130.00,Rs 140.00,Rs 136.67
Lime,KG,Rs 160.00,Rs 180.00,Rs 170.00
Pomegranate,KG,Rs 380.00,Rs 400.00,Rs 390.00
Mango(Maldah),KG,Rs 70.00,Rs 80.00,Rs 76.00
Mango(Dushari),KG,Rs 70.00,Rs 80.00,Rs 76.67
Water Melon(Green),KG,Rs 40.00,Rs 50.00,Rs 45.00
Sweet Orange,KG,Rs 180.00,Rs 200.00,Rs 190.00
Mandarin,KG,Rs 200.00,Rs 220.00,Rs 210.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Local),KG,Rs 60.00,Rs 80.00,Rs 68.00
Cucumber(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Jack Fruit,KG,Rs 30.00,Rs 40.00,Rs 36.67
Papaya(Indian),KG,Rs 110.00,Rs 120.00,Rs 115.00
Litchi(Local),KG,Rs 120.00,Rs 150.00,Rs 135.00
Litchi(Indian),KG,Rs 250.00,Rs 300.00,Rs 275.00
Kiwi,KG,Rs 500.00,Rs 600.00,Rs 550.00
Avocado,KG,Rs 600.00,Rs 700.00,Rs 650.00
Ginger,KG,Rs 280.00,Rs 320.00,Rs 304.00
Chilli Dry,KG,Rs 450.00,Rs 480.00,Rs 465.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Bullet),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),KG,Rs 40.00,Rs 50.00,Rs 46.67
Chilli Green(Akbare),KG,Rs 180.00,Rs 220.00,Rs 200.00
Capsicum,KG,Rs 40.00,Rs 50.00,Rs 45.00
Garlic Green,KG,Rs 60.00,Rs 70.00,Rs 66.67
Coriander Green,KG,Rs 200.00,Rs 250.00,Rs 225.00
Garlic Dry Chinese,KG,Rs 220.00,Rs 240.00,Rs 232.00
Garlic Dry Nepali,KG,Rs 180.00,Rs 190.00,Rs 186.67
Clive Dry,KG,Rs 120.00,Rs 130.00,Rs 125.00
Fish Fresh(Rahu),KG,Rs 315.00,Rs 330.00,Rs 322.50
Fish Fresh(Bachuwa),KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Chhadi),KG,Rs 230.00,Rs 250.00,Rs 243.33
Fish Fresh(Mungari),KG,Rs 320.00,Rs 340.00,Rs 330.00
