commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 110.00,Rs 120.00,Rs 115.00
Tomato Big(Indian),KG,Rs 110.00,Rs 120.00,Rs 115.00
Tomato Small(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Tunnel),KG,Rs 60.00,Rs 70.00,Rs 65.00
Potato Red,KG,Rs 50.00,Rs 55.00,Rs 52.33
Potato Red(Indian),KG,Rs 28.00,Rs 30.00,Rs 29.00
Potato White,KG,Rs 40.00,Rs 45.00,Rs 42.33
Onion Dry (Indian),KG,Rs 48.00,Rs 50.00,Rs 49.00
Carrot(Local),KG,Rs 200.00,Rs 220.00,Rs 210.00
Carrot(Terai),KG,Rs 140.00,Rs 150.00,Rs 145.00
Cabbage(Local),KG,Rs 25.00,Rs 30.00,Rs 27.67
Cauli Local,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cauli Local(Jyapu),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Terai,KG,Rs 25.00,Rs 30.00,Rs 27.67
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish White(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish White(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 55.00
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Rajma),KG,Rs 80.00,Rs 90.00,Rs 85.00
Sword Bean,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bitter Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bottle Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Terai),KG,Rs 50.00,Rs 60.00,Rs 55.00
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Pumpkin,KG,Rs 25.00,Rs 30.00,Rs 28.33
Squash(Long),KG,Rs 20.00,Rs 30.00,Rs 25.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Turnip,KG,Rs 60.00,Rs 70.00,Rs 65.00
Okara,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,KG,Rs 30.00,Rs 40.00,Rs 35.00
Arum,KG,Rs 40.00,Rs 50.00,Rs 45.00
Christophine,KG,Rs 10.00,Rs 20.00,Rs 15.00
Brd Leaf Mustard,KG,Rs 30.00,Rs 40.00,Rs 35.00
Spinach Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Cress Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Fenugreek Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Onion Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bakula,KG,Rs 120.00,Rs 130.00,Rs 125.00
Yam,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mushroom(Kanya),KG,Rs 150.00,Rs 180.00,Rs 163.33
Mushroom(Button),KG,Rs 280.00,Rs 300.00,Rs 290.00
Asparagus,KG,Rs 999.99,Rs 999.99,Rs 999.99
Brocauli,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 85.00
Red Cabbbage,KG,Rs 225.00,Rs 250.00,Rs 237.50
Lettuce,KG,Rs 60.00,Rs 70.00,Rs 65.00
Celery,KG,Rs 250.00,Rs 300.00,Rs 275.00
Parseley,KG,Rs 700.00,Rs 800.00,Rs 750.00
Fennel Leaf,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mint,KG,Rs 600.00,Rs 700.00,Rs 650.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 80.00,Rs 90.00,Rs 85.00
Tofu,KG,Rs 80.00,Rs 90.00,Rs 85.00
Gundruk,KG,Rs 200.00,Rs 250.00,Rs 225.00
Apple(Jholey),KG,Rs 220.00,Rs 250.00,Rs 235.00
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Banana,Per Dozen,Rs 90.00,Rs 100.00,Rs 95.00
Lime,KG,Rs 100.00,Rs 120.00,Rs 110.00
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 375.00
Grapes(Green),KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Black),KG,Rs 450.00,Rs 500.00,Rs 475.00
Orange(Nepali),KG,Rs 90.00,Rs 100.00,Rs 95.00
Orange(Indian),KG,Rs 100.00,Rs 110.00,Rs 105.00
Water Melon(Green),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Orange,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,1 Pc,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cucumber(Hybrid),KG,Rs 10.00,Rs 20.00,Rs 15.00
Lemon,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),KG,Rs 70.00,Rs 80.00,Rs 75.00
Papaya(Indian),KG,Rs 100.00,Rs 110.00,Rs 105.00
Guava,KG,Rs 110.00,Rs 120.00,Rs 115.00
Mombin,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sugarcane,Per Piece,Rs 70.00,Rs 80.00,Rs 75.00
Strawberry,KG,Rs 600.00,Rs 650.00,Rs 625.00
Kiwi,KG,Rs 250.00,Rs 300.00,Rs 275.00
Avocado,KG,Rs 250.00,Rs 300.00,Rs 275.00
Amla,KG,Rs 90.00,Rs 100.00,Rs 95.00
Ginger,KG,Rs 40.00,Rs 50.00,Rs 45.00
Chilli Dry,KG,Rs 300.00,Rs 310.00,Rs 305.00
Chilli Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Green(Bullet),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Akbare),KG,Rs 80.00,Rs 90.00,Rs 85.00
Capsicum,KG,Rs 90.00,Rs 100.00,Rs 95.00
Garlic Green,KG,Rs 100.00,Rs 120.00,Rs 110.00
Coriander Green,KG,Rs 140.00,Rs 160.00,Rs 150.00
Garlic Dry Chinese,KG,Rs 220.00,Rs 230.00,Rs 225.00
