commodities,unit,minimum,maximum,average

Tomato Big(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Tomato Small(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Tunnel),KG,Rs 65.00,Rs 75.00,Rs 71.00
Potato Red,KG,Rs 70.00,Rs 75.00,Rs 72.50
Potato Red(Indian),KG,Rs 40.00,Rs 45.00,Rs 43.33
Potato Red(Mude),KG,Rs 45.00,Rs 48.00,Rs 46.50
Potato White,KG,Rs 40.00,Rs 45.00,Rs 42.50
Onion Dry (Indian),KG,Rs 55.00,Rs 60.00,Rs 58.00
Carrot(Local),KG,Rs 140.00,Rs 160.00,Rs 150.00
Carrot(Terai),KG,Rs 80.00,Rs 90.00,Rs 86.67
Cabbage(Local),KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local,KG,Rs 140.00,Rs 180.00,Rs 156.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 46.67
Raddish White(Local),KG,Rs 60.00,Rs 70.00,Rs 66.00
Raddish White(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cow pea(Long),KG,Rs 140.00,Rs 160.00,Rs 150.00
French Bean(Local),KG,Rs 110.00,Rs 120.00,Rs 116.67
Bitter Gourd,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bottle Gourd,KG,Rs 70.00,Rs 80.00,Rs 76.67
Smooth Gourd,KG,Rs 80.00,Rs 90.00,Rs 86.67
Pumpkin,KG,Rs 25.00,Rs 30.00,Rs 27.50
Squash(Long),KG,Rs 50.00,Rs 60.00,Rs 56.67
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 96.67
Okara,KG,Rs 70.00,Rs 80.00,Rs 76.67
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,KG,Rs 50.00,Rs 60.00,Rs 56.67
Arum,KG,Rs 50.00,Rs 60.00,Rs 56.67
Christophine,KG,Rs 15.00,Rs 20.00,Rs 18.33
Brd Leaf Mustard,KG,Rs 150.00,Rs 180.00,Rs 170.00
Spinach Leaf,KG,Rs 220.00,Rs 250.00,Rs 235.00
Cress Leaf,KG,Rs 220.00,Rs 250.00,Rs 240.00
Mustard Leaf,KG,Rs 60.00,Rs 70.00,Rs 66.67
Fenugreek Leaf,KG,Rs 220.00,Rs 250.00,Rs 240.00
Onion Green,KG,Rs 120.00,Rs 150.00,Rs 140.00
Mushroom(Kanya),KG,Rs 150.00,Rs 200.00,Rs 175.00
Mushroom(Button),KG,Rs 400.00,Rs 500.00,Rs 450.00
Brocauli,KG,Rs 150.00,Rs 180.00,Rs 165.00
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 85.00
Red Cabbbage,KG,Rs 150.00,Rs 180.00,Rs 165.00
Lettuce,KG,Rs 180.00,Rs 200.00,Rs 193.33
Turnip A,KG,Rs 80.00,Rs 90.00,Rs 86.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 80.00,Rs 90.00,Rs 86.67
Tofu,KG,Rs 80.00,Rs 90.00,Rs 86.67
Gundruk,KG,Rs 200.00,Rs 250.00,Rs 225.00
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 283.33
Banana,Per Dozen,Rs 110.00,Rs 120.00,Rs 116.67
Lime,KG,Rs 120.00,Rs 140.00,Rs 130.00
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 333.33
Grapes(Green),KG,Rs 300.00,Rs 320.00,Rs 310.00
Grapes(Black),KG,Rs 500.00,Rs 600.00,Rs 550.00
Orange(Nepali),KG,Rs 80.00,Rs 90.00,Rs 86.67
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Water Melon(Green),KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 325.00
Pineapple,1 Pc,Rs 150.00,Rs 160.00,Rs 156.67
Cucumber(Local),KG,Rs 130.00,Rs 150.00,Rs 140.00
Cucumber(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 56.67
Lemon,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),KG,Rs 60.00,Rs 70.00,Rs 66.67
Papaya(Indian),KG,Rs 100.00,Rs 110.00,Rs 106.67
Guava,KG,Rs 100.00,Rs 150.00,Rs 133.33
Mombin,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 233.33
Avocado,KG,Rs 200.00,Rs 250.00,Rs 233.33
Amla,KG,Rs 90.00,Rs 100.00,Rs 96.67
Ginger,KG,Rs 40.00,Rs 50.00,Rs 46.67
Chilli Dry,KG,Rs 300.00,Rs 320.00,Rs 304.00
Chilli Green,KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Akbare),KG,Rs 120.00,Rs 150.00,Rs 140.00
Capsicum,KG,Rs 150.00,Rs 160.00,Rs 156.67
Garlic Green,KG,Rs 220.00,Rs 250.00,Rs 240.00
Coriander Green,KG,Rs 300.00,Rs 400.00,Rs 350.00
Garlic Dry Chinese,KG,Rs 230.00,Rs 240.00,Rs 236.00
Garlic Dry Nepali,KG,Rs 190.00,Rs 200.00,Rs 196.67
Clive Dry,KG,Rs 320.00,Rs 350.00,Rs 335.00
Fish Fresh(Rahu),KG,Rs 280.00,Rs 300.00,Rs 293.33
Fish Fresh(Bachuwa),KG,Rs 230.00,Rs 250.00,Rs 240.00
Fish Fresh(Chhadi),KG,Rs 230.00,Rs 250.00,Rs 240.00
Fish Fresh(Mungari),KG,Rs 230.00,Rs 250.00,Rs 240.00
