commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 70.00,Rs 80.00,Rs 76.67
Tomato Small(Local),KG,Rs 55.00,Rs 60.00,Rs 58.33
Tomato Small(Tunnel),KG,Rs 60.00,Rs 70.00,Rs 65.00
Potato Red,KG,Rs 70.00,Rs 75.00,Rs 73.33
Potato Red(Indian),KG,Rs 28.00,Rs 30.00,Rs 29.33
Potato Red(Mude),KG,Rs 45.00,Rs 48.00,Rs 47.00
Onion Dry (Indian),KG,Rs 75.00,Rs 78.00,Rs 77.00
Carrot(Local),KG,Rs 150.00,Rs 180.00,Rs 163.33
Carrot(Terai),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cabbage(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cauli Local,KG,Rs 120.00,Rs 140.00,Rs 133.33
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 56.67
Raddish White(Local),KG,Rs 50.00,Rs 60.00,Rs 56.67
Raddish White(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),KG,Rs 70.00,Rs 80.00,Rs 76.67
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 76.67
French Bean(Local),KG,Rs 40.00,Rs 50.00,Rs 46.67
French Bean(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 46.67
Bitter Gourd,KG,Rs 30.00,Rs 40.00,Rs 36.67
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pointed Gourd(Local),KG,Rs 60.00,Rs 70.00,Rs 66.67
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,KG,Rs 30.00,Rs 40.00,Rs 36.67
Pumpkin,KG,Rs 25.00,Rs 30.00,Rs 28.33
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 96.67
Okara,KG,Rs 30.00,Rs 40.00,Rs 37.50
Sweet Potato,KG,Rs 100.00,Rs 110.00,Rs 105.00
Barela,KG,Rs 70.00,Rs 80.00,Rs 76.67
Arum,KG,Rs 40.00,Rs 50.00,Rs 46.67
Christophine,KG,Rs 10.00,Rs 15.00,Rs 13.33
Brd Leaf Mustard,KG,Rs 70.00,Rs 80.00,Rs 76.67
Spinach Leaf,KG,Rs 150.00,Rs 180.00,Rs 165.00
Cress Leaf,KG,Rs 180.00,Rs 200.00,Rs 190.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 200.00,Rs 250.00,Rs 225.00
Mushroom(Kanya),KG,Rs 220.00,Rs 250.00,Rs 235.00
Mushroom(Button),KG,Rs 500.00,Rs 600.00,Rs 550.00
Asparagus,KG,Rs 600.00,Rs 700.00,Rs 650.00
Brocauli,KG,Rs 200.00,Rs 220.00,Rs 210.00
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 76.67
Red Cabbbage,KG,Rs 250.00,Rs 300.00,Rs 275.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 90.00,Rs 100.00,Rs 96.67
Apple(Fuji),KG,Rs 300.00,Rs 350.00,Rs 333.33
Banana,Per Dozen,Rs 90.00,Rs 100.00,Rs 95.00
Lime,KG,Rs 180.00,Rs 200.00,Rs 193.33
Pomegranate,KG,Rs 320.00,Rs 350.00,Rs 335.00
Orange(Indian),KG,Rs 120.00,Rs 140.00,Rs 130.00
Water Melon(Green),KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,KG,Rs 120.00,Rs 130.00,Rs 125.00
Pineapple,1 Pc,Rs 120.00,Rs 150.00,Rs 135.00
Cucumber(Local),KG,Rs 90.00,Rs 100.00,Rs 96.67
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 46.67
Lemon,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Chinese),KG,Rs 180.00,Rs 200.00,Rs 190.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Guava,KG,Rs 150.00,Rs 200.00,Rs 175.00
Mombin,KG,Rs 90.00,Rs 100.00,Rs 95.00
Kiwi,KG,Rs 200.00,Rs 300.00,Rs 250.00
Ginger,KG,Rs 40.00,Rs 50.00,Rs 46.00
Chilli Dry,KG,Rs 300.00,Rs 320.00,Rs 313.33
Chilli Green,KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Bullet),KG,Rs 120.00,Rs 130.00,Rs 125.00
Chilli Green(Machhe),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Akbare),KG,Rs 200.00,Rs 250.00,Rs 225.00
Capsicum,KG,Rs 140.00,Rs 150.00,Rs 146.67
Garlic Green,KG,Rs 600.00,Rs 700.00,Rs 650.00
Coriander Green,KG,Rs 300.00,Rs 400.00,Rs 366.67
Garlic Dry Chinese,KG,Rs 240.00,Rs 250.00,Rs 246.00
Garlic Dry Nepali,KG,Rs 190.00,Rs 200.00,Rs 196.67
Clive Dry,KG,Rs 280.00,Rs 300.00,Rs 290.00
Fish Fresh(Rahu),KG,Rs 275.00,Rs 290.00,Rs 281.67
Fish Fresh(Bachuwa),KG,Rs 225.00,Rs 235.00,Rs 230.00
Fish Fresh(Chhadi),KG,Rs 220.00,Rs 230.00,Rs 225.00
Fish Fresh(Mungari),KG,Rs 230.00,Rs 240.00,Rs 235.00
