commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 110.00,Rs 120.00,Rs 115.00
Tomato Big(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Tomato Small(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Tunnel),KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Indian),KG,Rs 70.00,Rs 80.00,Rs 76.67
Potato Red,KG,Rs 45.00,Rs 50.00,Rs 47.50
Potato Red(Indian),KG,Rs 26.00,Rs 28.00,Rs 27.00
Potato White,KG,Rs 38.00,Rs 40.00,Rs 39.00
Onion Dry (Indian),KG,Rs 42.00,Rs 45.00,Rs 43.50
Carrot(Local),KG,Rs 150.00,Rs 160.00,Rs 156.67
Carrot(Terai),KG,Rs 110.00,Rs 120.00,Rs 115.00
Cabbage(Local),KG,Rs 28.00,Rs 35.00,Rs 30.20
Cauli Local,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 56.67
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,KG,Rs 140.00,Rs 150.00,Rs 146.00
French Bean(Local),KG,Rs 60.00,Rs 70.00,Rs 66.00
French Bean(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 66.67
Sword Bean,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bitter Gourd,KG,Rs 70.00,Rs 80.00,Rs 76.00
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 46.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 76.67
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 36.67
Smooth Gourd,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pumpkin,KG,Rs 25.00,Rs 30.00,Rs 28.33
Squash(Long),KG,Rs 25.00,Rs 30.00,Rs 28.00
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 36.67
Turnip,KG,Rs 60.00,Rs 70.00,Rs 66.67
Okara,KG,Rs 100.00,Rs 120.00,Rs 110.00
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 66.67
Barela,KG,Rs 40.00,Rs 50.00,Rs 46.00
Arum,KG,Rs 40.00,Rs 50.00,Rs 46.67
Christophine,KG,Rs 10.00,Rs 20.00,Rs 15.00
Brd Leaf Mustard,KG,Rs 50.00,Rs 60.00,Rs 56.67
Spinach Leaf,KG,Rs 120.00,Rs 150.00,Rs 140.00
Cress Leaf,KG,Rs 120.00,Rs 150.00,Rs 140.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 56.67
Fenugreek Leaf,KG,Rs 120.00,Rs 150.00,Rs 140.00
Onion Green,KG,Rs 90.00,Rs 100.00,Rs 96.00
Bakula,KG,Rs 120.00,Rs 130.00,Rs 126.67
Yam,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mushroom(Kanya),KG,Rs 180.00,Rs 200.00,Rs 192.00
Mushroom(Button),KG,Rs 320.00,Rs 350.00,Rs 335.00
Asparagus,KG,Rs 999.99,Rs 999.99,Rs 999.99
Brocauli,KG,Rs 80.00,Rs 90.00,Rs 86.67
Sugarbeet,KG,Rs 90.00,Rs 100.00,Rs 96.67
Red Cabbbage,KG,Rs 225.00,Rs 250.00,Rs 241.67
Lettuce,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,KG,Rs 250.00,Rs 300.00,Rs 275.00
Parseley,KG,Rs 600.00,Rs 700.00,Rs 666.67
Mint,KG,Rs 600.00,Rs 700.00,Rs 650.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 66.67
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,KG,Rs 90.00,Rs 100.00,Rs 96.67
Gundruk,KG,Rs 200.00,Rs 250.00,Rs 225.00
Apple(Fuji),KG,Rs 250.00,Rs 280.00,Rs 270.00
Banana,Per Dozen,Rs 90.00,Rs 100.00,Rs 96.67
Lime,KG,Rs 100.00,Rs 110.00,Rs 106.67
Pomegranate,KG,Rs 400.00,Rs 450.00,Rs 425.00
Grapes(Green),KG,Rs 250.00,Rs 280.00,Rs 265.00
Grapes(Black),KG,Rs 400.00,Rs 450.00,Rs 425.00
Orange(Nepali),KG,Rs 90.00,Rs 100.00,Rs 96.67
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Water Melon(Green),KG,Rs 80.00,Rs 90.00,Rs 85.00
Sweet Orange,KG,Rs 120.00,Rs 140.00,Rs 130.00
Mandarin,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,1 Pc,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cucumber(Hybrid),KG,Rs 20.00,Rs 25.00,Rs 23.33
Lemon,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pear(Chinese),KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),KG,Rs 60.00,Rs 70.00,Rs 66.67
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 96.67
Guava,KG,Rs 100.00,Rs 120.00,Rs 113.33
Mombin,KG,Rs 70.00,Rs 80.00,Rs 76.67
Sugarcane,Per Piece,Rs 40.00,Rs 50.00,Rs 45.00
Strawberry,KG,Rs 600.00,Rs 700.00,Rs 650.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 225.00
Avocado,KG,Rs 250.00,Rs 300.00,Rs 275.00
Amla,KG,Rs 90.00,Rs 100.00,Rs 96.67
Ginger,KG,Rs 40.00,Rs 50.00,Rs 45.00
Chilli Dry,KG,Rs 300.00,Rs 310.00,Rs 306.00
Chilli Green,KG,Rs 70.00,Rs 80.00,Rs 74.00
Chilli Green(Bullet),KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Machhe),KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Akbare),KG,Rs 80.00,Rs 100.00,Rs 88.00
Capsicum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Green,KG,Rs 120.00,Rs 150.00,Rs 135.00
Coriander Green,KG,Rs 120.00,Rs 150.00,Rs 132.00
Garlic Dry Chinese,KG,Rs 220.00,Rs 230.00,Rs 223.00
Garlic Dry Nepali,KG,Rs 180.00,Rs 190.00,Rs 186.67
Clive Dry,KG,Rs 350.00,Rs 400.00,Rs 375.00
Clive Green,KG,Rs 120.00,Rs 150.00,Rs 135.00
