commodities,unit,minimum,maximum,average

Tomato Big(Nepali),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),KG,Rs 18.00,Rs 22.00,Rs 19.75
Tomato Small(Tunnel),KG,Rs 22.00,Rs 27.00,Rs 24.67
Potato Red,KG,Rs 54.00,Rs 55.00,Rs 54.50
Potato Red(Indian),KG,Rs 28.00,Rs 30.00,Rs 29.00
Potato Red(Mude),KG,Rs 44.00,Rs 46.00,Rs 45.00
Potato White,KG,Rs 34.00,Rs 35.00,Rs 34.75
Onion Dry (Indian),KG,Rs 45.00,Rs 48.00,Rs 46.00
Carrot(Local),KG,Rs 120.00,Rs 140.00,Rs 130.00
Cabbage(Local),KG,Rs 45.00,Rs 50.00,Rs 47.67
Cauli Local,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish White(Local),KG,Rs 15.00,Rs 20.00,Rs 17.67
Raddish White(Hybrid),KG,Rs 15.00,Rs 20.00,Rs 17.67
Brinjal Long,KG,Rs 20.00,Rs 25.00,Rs 22.33
Brinjal Round,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),KG,Rs 20.00,Rs 30.00,Rs 25.00
Cowpea(Short),KG,Rs 80.00,Rs 90.00,Rs 85.00
French Bean(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Hybrid),KG,Rs 45.00,Rs 50.00,Rs 47.67
French Bean(Rajma),KG,Rs 80.00,Rs 90.00,Rs 85.00
Sword Bean,KG,Rs 150.00,Rs 160.00,Rs 155.00
Soyabean Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bitter Gourd,KG,Rs 15.00,Rs 25.00,Rs 20.00
Bottle Gourd,KG,Rs 20.00,Rs 25.00,Rs 22.33
Pointed Gourd(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,KG,Rs 20.00,Rs 25.00,Rs 22.33
Smooth Gourd,KG,Rs 20.00,Rs 25.00,Rs 22.33
Sponge Gourd,KG,Rs 30.00,Rs 35.00,Rs 32.67
Pumpkin,KG,Rs 35.00,Rs 40.00,Rs 37.67
Squash(Round),KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,KG,Rs 25.00,Rs 30.00,Rs 27.67
Arum,KG,Rs 50.00,Rs 60.00,Rs 55.00
Christophine,KG,Rs 25.00,Rs 30.00,Rs 27.67
Brd Leaf Mustard,KG,Rs 80.00,Rs 90.00,Rs 85.00
Spinach Leaf,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cress Leaf,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mushroom(Kanya),KG,Rs 240.00,Rs 250.00,Rs 245.00
Mushroom(Button),KG,Rs 400.00,Rs 420.00,Rs 411.67
Asparagus,KG,Rs 999.99,Rs 999.99,Rs 999.99
Neuro,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brocauli,KG,Rs 110.00,Rs 130.00,Rs 120.00
Sugarbeet,KG,Rs 130.00,Rs 140.00,Rs 135.00
Red Cabbbage,KG,Rs 250.00,Rs 300.00,Rs 275.00
Lettuce,KG,Rs 150.00,Rs 200.00,Rs 175.00
Celery,KG,Rs 250.00,Rs 300.00,Rs 275.00
Parseley,KG,Rs 400.00,Rs 450.00,Rs 425.00
Mint,KG,Rs 200.00,Rs 220.00,Rs 210.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 150.00,Rs 200.00,Rs 175.00
Apple(Fuji),KG,Rs 220.00,Rs 230.00,Rs 225.00
Banana,Per Dozen,Rs 100.00,Rs 110.00,Rs 105.00
Lime,KG,Rs 120.00,Rs 130.00,Rs 125.00
Pomegranate,KG,Rs 260.00,Rs 280.00,Rs 270.00
Mango(Maldah),KG,Rs 200.00,Rs 220.00,Rs 210.00
Mango(Chousa),KG,Rs 160.00,Rs 180.00,Rs 170.00
Water Melon(Green),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cucumber(Hybrid),KG,Rs 15.00,Rs 20.00,Rs 17.67
Jack Fruit,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pear(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Pear(Chinese),KG,Rs 200.00,Rs 220.00,Rs 210.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Kiwi,KG,Rs 700.00,Rs 800.00,Rs 750.00
Ginger,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Dry,KG,Rs 300.00,Rs 320.00,Rs 310.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Bullet),KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Machhe),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Akbare),KG,Rs 200.00,Rs 250.00,Rs 226.67
Capsicum,KG,Rs 60.00,Rs 70.00,Rs 65.00
Garlic Green,KG,Rs 140.00,Rs 150.00,Rs 145.00
Coriander Green,KG,Rs 130.00,Rs 150.00,Rs 140.00
Garlic Dry Chinese,KG,Rs 200.00,Rs 210.00,Rs 205.00
Garlic Dry Nepali,KG,Rs 150.00,Rs 160.00,Rs 155.00
Clive Dry,KG,Rs 200.00,Rs 250.00,Rs 225.00
Clive Green,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Bachuwa),KG,Rs 225.00,Rs 235.00,Rs 230.00
Fish Fresh(Chhadi),KG,Rs 210.00,Rs 220.00,Rs 215.00
Fish Fresh(Mungari),KG,Rs 260.00,Rs 270.00,Rs 265.00
